from,to,type,tech,carrier,value
acaes_SN,elec_Bus_SN,invest,acaes,cavern,357.14286
chp_SN,elec_Bus_SN,invest,ext,biomass,1685.7333
elec_Bus_SN,acaes_SN,invest,,,357.14286
elec_Bus_SN,hydrogen_SN,invest,,,0.0
elec_Bus_SN,li-ion_SN,invest,,,782.5
elec_Bus_SN,redox_SN,invest,,,46.5
hydro_SN,elec_Bus_SN,invest,ror,hydro,4.0
hydrogen_SN,elec_Bus_SN,invest,hydrogen,hydrogen,0.0
li-ion_SN,elec_Bus_SN,invest,battery,li-ion,782.5
offshore_SN,elec_Bus_SN,invest,offshore,wind,0.0
onshore_SN,elec_Bus_SN,invest,onshore,wind,0.0
pv_SN,elec_Bus_SN,invest,pv,solar,4920.405
redox_SN,elec_Bus_SN,invest,battery,redox,46.5
ashp_SN,heat_Bus_SN,invest,ashp,electricity,2187.6618
gshp_SN,heat_Bus_SN,invest,gshp,electricity,3811.0611
heat_Bus_SN,tes_SN,invest,,,460.23399
tes_SN,heat_Bus_SN,invest,tes,heat,460.23399
onshore_SN,elec_Bus_SN,capacity,onshore,wind,7064.0
offshore_SN,elec_Bus_SN,capacity,offshore,wind,1793.0
pv_SN,elec_Bus_SN,capacity,pv,solar,1667.0
hydro_SN,elec_Bus_SN,capacity,ror,hydro,2.0
chp_SN,elec_Bus_SN,capacity,ext,biomass,1039.4
ashp_SN,heat_Bus_SN,capacity,ashp,electricity,0.0
gshp_SN,heat_Bus_SN,capacity,gshp,electricity,0.0
phs_SN,elec_Bus_SN,capacity,reservoir,hydro,120.0
li-ion_SN,elec_Bus_SN,capacity,battery,li-ion,0.0
acaes_SN,elec_Bus_SN,capacity,acaes,cavern,0.0
redox_SN,elec_Bus_SN,capacity,battery,redox,0.0
hydrogen_SN,elec_Bus_SN,capacity,hydrogen,hydrogen,0.0
tes_SN,heat_Bus_SN,capacity,tes,heat,0.0
